,Model,Accuracy,Error Rate,ROC AUC,Precision,Recall, F1 Score,SS
0,SGBC,0.692460317,0.307539683,0.691666667,0.709166667,0.676388889,0.650330688,1
1,GBC,0.698412698,0.301587302,0.699305556,0.757777778,0.680555556,0.680185185,1
2,Ada,0.560714286,0.439285714,0.559722222,0.572222222,0.611111111,0.565793651,1
3,SGBC,0.718650794,0.281349206,0.719444444,0.732222222,0.7625,0.713478836,2
4,GBC,0.752380952,0.247619048,0.752083333,0.804444444,0.719444444,0.733888889,2
5,Ada,0.682936508,0.317063492,0.681944444,0.729722222,0.679166667,0.670833333,2
6,SGBC,0.688888889,0.311111111,0.690277778,0.688174603,0.677777778,0.649510582,3
7,GBC,0.703968254,0.296031746,0.704861111,0.746944444,0.701388889,0.689537037,3
8,Ada,0.578968254,0.421031746,0.579166667,0.605833333,0.577777778,0.56781746,3
9,SGBC,0.690079365,0.309920635,0.693055556,0.696388889,0.651388889,0.633465608,4
10,GBC,0.651587302,0.348412698,0.652083333,0.679166667,0.647222222,0.633373016,4
11,Ada,0.563888889,0.436111111,0.563194444,0.576388889,0.605555556,0.562698413,4
12,SGBC,0.718650794,0.281349206,0.718055556,0.753055556,0.744444444,0.712473545,5
13,GBC,0.772619048,0.227380952,0.772222222,0.836111111,0.733333333,0.751997354,5
14,Ada,0.68015873,0.31984127,0.679166667,0.721111111,0.684722222,0.670952381,5
15,SGBC,0.707142857,0.292857143,0.705555556,0.722142857,0.7,0.675238095,6
16,GBC,0.696031746,0.303968254,0.696527778,0.729722222,0.697222222,0.681891534,6
17,Ada,0.582936508,0.417063492,0.582638889,0.601944444,0.595833333,0.57702381,6
