SS,Model,Accuracy,Error Rate,ROC AUC,Precision,Recall, F1 Score
1,SVM,0.708333333,0.291666667,0.708333333,0.782777778,0.559722222,0.620039683
1,LR,0.66547619,0.33452381,0.665972222,0.742222222,0.480555556,0.55265873
1,NB,0.707539683,0.292460317,0.707638889,0.836111111,0.511111111,0.592275132
1,KNN,0.680555556,0.319444444,0.679861111,0.775,0.440277778,0.530555556
1,DT,0.659920635,0.340079365,0.657638889,0.706111111,0.641666667,0.647328042
1,RF,0.688492063,0.311507937,0.688888889,0.729166667,0.6875,0.675489418
2,SVM,0.754761905,0.245238095,0.753472222,0.789722222,0.711111111,0.715026455
2,LR,0.73531746,0.26468254,0.735416667,0.770833333,0.708333333,0.714537037
2,NB,0.753968254,0.246031746,0.755555556,0.878055556,0.601388889,0.68297619
2,KNN,0.721031746,0.278968254,0.722222222,0.8875,0.491666667,0.600873016
2,DT,0.66468254,0.33531746,0.665277778,0.719722222,0.666666667,0.653690476
2,RF,0.763492063,0.236507937,0.763194444,0.846666667,0.708333333,0.738730159
3,SVM,0.724206349,0.275793651,0.723611111,0.7525,0.701388889,0.707156085
3,LR,0.66468254,0.33531746,0.667361111,0.678888889,0.668055556,0.641468254
3,NB,0.718253968,0.281746032,0.71875,0.821944444,0.544444444,0.615965608
3,KNN,0.651190476,0.348809524,0.651388889,0.751388889,0.413888889,0.503412698
3,DT,0.65952381,0.34047619,0.657638889,0.720277778,0.641666667,0.647645503
3,RF,0.693253968,0.306746032,0.693055556,0.723333333,0.686111111,0.672592593
4,SVM,0.713095238,0.286904762,0.713194444,0.781388889,0.558333333,0.619126984
4,LR,0.66547619,0.33452381,0.665972222,0.742222222,0.480555556,0.55265873
4,NB,0.701984127,0.298015873,0.702083333,0.7825,0.5875,0.631322751
4,KNN,0.680555556,0.319444444,0.679861111,0.775,0.440277778,0.530555556
4,DT,0.627777778,0.372222222,0.625694444,0.671388889,0.636111111,0.621507937
4,RF,0.687301587,0.312698413,0.6875,0.715555556,0.659722222,0.650806878
5,SVM,0.767063492,0.232936508,0.765972222,0.798055556,0.726388889,0.726812169
5,LR,0.73531746,0.26468254,0.735416667,0.770833333,0.708333333,0.714537037
5,NB,0.767460317,0.232539683,0.768055556,0.881111111,0.643055556,0.712222222
5,KNN,0.723809524,0.276190476,0.725,0.8875,0.497222222,0.605873016
5,DT,0.663095238,0.336904762,0.663888889,0.708611111,0.666666667,0.655436508
5,RF,0.752380952,0.247619048,0.751388889,0.825555556,0.708333333,0.731507937
6,SVM,0.680952381,0.319047619,0.680555556,0.708888889,0.6375,0.64957672
6,LR,0.66468254,0.33531746,0.667361111,0.678888889,0.668055556,0.641468254
6,NB,0.721031746,0.278968254,0.721527778,0.808611111,0.604166667,0.652671958
6,KNN,0.661904762,0.338095238,0.6625,0.769444444,0.436111111,0.523253968
6,DT,0.656746032,0.343253968,0.654861111,0.700277778,0.636111111,0.641970899
6,RF,0.669444444,0.330555556,0.670138889,0.703888889,0.659722222,0.648227513
